curve,dims,m0,m1,m2,total_points,query_w,query_h,method,num_queries,mean_clusters,p95_clusters,max_clusters,min_clusters
LC-CHI-BRGC,2,12,6,0,262144,64,4,exhaustive,246013,33.558166,54.00,59,5
LC-CHI-BRGC,2,12,6,0,262144,4,64,exhaustive,4093,31.994869,51.00,51,6
LC-CHI-BRGC,2,12,6,0,262144,32,32,exhaustive,134145,31.571814,50.00,53,1
LC-CHI-Balanced,2,12,6,0,262144,4,4,exhaustive,249673,3.973097,6.00,6,1
LC-CHI-Balanced,2,12,6,0,262144,8,8,exhaustive,233073,7.942666,13.00,14,1
LC-CHI-Balanced,2,12,6,0,262144,16,16,exhaustive,199969,15.850232,26.00,26,1
LC-CHI-Balanced,2,12,6,0,262144,64,4,exhaustive,246013,33.558166,54.00,59,5
LC-CHI-Balanced,2,12,6,0,262144,4,64,exhaustive,4093,31.994869,51.00,51,6
LC-CHI-Balanced,2,12,6,0,262144,32,32,exhaustive,134145,31.571814,50.00,53,1
LC-CHI-Random,2,12,6,0,262144,4,4,exhaustive,249673,3.973097,6.00,6,1
LC-CHI-Random,2,12,6,0,262144,8,8,exhaustive,233073,7.942666,13.00,14,1
LC-CHI-Random,2,12,6,0,262144,16,16,exhaustive,199969,15.850232,26.00,26,1
LC-CHI-Random,2,12,6,0,262144,64,4,exhaustive,246013,33.558166,54.00,59,5
LC-CHI-Random,2,12,6,0,262144,4,64,exhaustive,4093,31.994869,51.00,51,6
LC-CHI-Random,2,12,6,0,262144,32,32,exhaustive,134145,31.571814,50.00,53,1
Hamilton-CHI,2,13,5,0,262144,4,4,exhaustive,237481,3.926529,6.00,7,1
Hamilton-CHI,2,13,5,0,262144,8,8,exhaustive,204625,7.832054,13.00,14,1
Hamilton-CHI,2,13,5,0,262144,16,16,exhaustive,139009,15.469747,25.00,27,1
Hamilton-CHI,2,13,5,0,262144,64,4,exhaustive,235741,33.215274,53.00,54,6
Hamilton-CHI,2,13,5,0,262144,32,32,exhaustive,8161,16.998039,29.00,33,1
LC-CHI-BRGC,2,13,5,0,262144,4,4,exhaustive,237481,3.946930,6.00,6,1
LC-CHI-BRGC,2,13,5,0,262144,8,8,exhaustive,204625,7.860716,13.00,14,1
LC-CHI-BRGC,2,13,5,0,262144,16,16,exhaustive,139009,15.618334,26.00,26,1
LC-CHI-BRGC,2,13,5,0,262144,64,4,exhaustive,235741,33.106439,55.00,59,6
LC-CHI-BRGC,2,13,5,0,262144,32,32,exhaustive,8161,15.998162,27.00,27,1
LC-CHI-Balanced,2,13,5,0,262144,4,4,exhaustive,237481,3.946930,6.00,6,1
LC-CHI-Balanced,2,13,5,0,262144,8,8,exhaustive,204625,7.860716,13.00,14,1
LC-CHI-Balanced,2,13,5,0,262144,16,16,exhaustive,139009,15.618334,26.00,26,1
LC-CHI-Balanced,2,13,5,0,262144,64,4,exhaustive,235741,33.106439,55.00,59,6
LC-CHI-Balanced,2,13,5,0,262144,32,32,exhaustive,8161,15.998162,27.00,27,1
LC-CHI-Random,2,13,5,0,262144,4,4,exhaustive,237481,3.946930,6.00,6,1
LC-CHI-Random,2,13,5,0,262144,8,8,exhaustive,204625,7.860716,13.00,14,1
LC-CHI-Random,2,13,5,0,262144,16,16,exhaustive,139009,15.618334,26.00,26,1
LC-CHI-Random,2,13,5,0,262144,64,4,exhaustive,235741,33.106439,55.00,59,6
LC-CHI-Random,2,13,5,0,262144,32,32,exhaustive,8161,15.998162,27.00,27,1
