curve,dims,m0,m1,m2,total_points,block_size,mean_area_ratio,p95_area_ratio,max_area_ratio,max_peri_ratio
Hamilton-CHI,2,13,5,0,262144,1024,1.000000,1.000000,1.000000,4.000000
LC-CHI-BRGC,2,13,5,0,262144,32,1.000000,1.000000,1.000000,4.242641
LC-CHI-BRGC,2,13,5,0,262144,33,1.412028,1.939394,1.939394,5.570485
LC-CHI-BRGC,2,13,5,0,262144,64,1.000000,1.000000,1.000000,4.000000
LC-CHI-BRGC,2,13,5,0,262144,100,1.340229,1.680000,1.920000,5.600000
LC-CHI-BRGC,2,13,5,0,262144,128,1.000000,1.000000,1.000000,4.242641
LC-CHI-BRGC,2,13,5,0,262144,256,1.000000,1.000000,1.000000,4.000000
LC-CHI-BRGC,2,13,5,0,262144,500,1.491322,2.048000,2.048000,5.724334
LC-CHI-BRGC,2,13,5,0,262144,512,1.000000,1.000000,1.000000,4.242641
LC-CHI-BRGC,2,13,5,0,262144,1024,1.000000,1.000000,1.000000,4.000000
